Year,Month,Region,Season,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),num_fires,avg_size_ha,dominant_risk
2004,10,Okanagan,Fall,11.8,58.8,34.0,10.6,119,1.4694117647058824,Extreme
2004,10,Prince George,Fall,3.0,78.4,66.1,10.5,166,10.395999999999999,Extreme
2004,10,Vancouver Island,Fall,10.2,70.4,80.0,8.9,40,1.29325,Low
2004,11,Cariboo,Fall,-4.8,89.8,65.0,7.1,156,6.8153999999999995,Extreme
2004,11,Kamloops,Fall,0.6,73.4,50.0,10.0,419,2.496264705882353,Extreme
2004,11,Okanagan,Fall,3.7,75.1,23.1,9.2,119,1.4694117647058824,Extreme
2004,11,Prince George,Fall,-5.9,77.5,56.5,5.3,166,10.395999999999999,Extreme
2004,11,Vancouver Island,Fall,6.0,81.5,152.5,11.3,40,1.29325,Low
2004,12,Cariboo,Winter,-8.7,83.5,36.3,5.8,2,0.009,Low
2004,12,Kamloops,Winter,-7.2,81.7,34.7,10.5,2,0.7044999999999999,Low
2004,12,Okanagan,Winter,-1.6,79.7,56.7,9.8,1,15.8,High
2004,12,Vancouver Island,Winter,4.7,79.6,119.5,13.9,4,2.5295,Low
2005,1,Cariboo,Winter,-9.1,81.9,49.5,7.1,1,0.009,Low
2005,1,Kamloops,Winter,-6.6,78.5,38.5,10.8,2,0.009,Low
2005,1,Prince George,Winter,-11.2,79.9,42.1,3.9,4,4.25,Moderate
2005,1,Vancouver Island,Winter,3.5,88.6,131.3,11.2,3,15.884719533143599,Extreme
2005,2,Cariboo,Winter,-4.9,85.5,46.2,7.6,1,0.009,Low
2005,2,Kamloops,Winter,-4.2,71.7,19.9,8.8,2,0.009,Low
2005,2,Prince George,Winter,-8.5,85.1,46.6,7.8,4,4.25,Moderate
2005,2,Vancouver Island,Winter,7.2,83.1,95.8,10.4,3,15.884719533143599,Extreme
2005,3,Cariboo,Spring,-1.0,64.9,33.7,6.4,78,11.16551282051282,Moderate
2005,3,Kamloops,Spring,6.5,63.6,14.2,11.9,114,2.611263157894737,Low
2005,3,Okanagan,Spring,3.0,68.1,29.4,7.9,45,3.345377777777778,Low
2005,3,Prince George,Spring,-3.6,71.9,22.4,9.5,227,284.87210572687223,Moderate
2005,3,Vancouver Island,Spring,7.2,74.4,84.8,11.5,67,1.1941555555555556,Low
2005,4,Cariboo,Spring,5.9,56.6,21.2,7.5,78,11.16551282051282,Moderate
